epoch,step,val_Dice_FG
4,349,0.0639408528804779
9,699,0.09302543103694916
14,1049,0.12884123623371124
19,1399,0.15715859830379486
24,1749,0.1808638572692871
29,2099,0.2046927809715271
34,2449,0.22381636500358582
39,2799,0.23568487167358398
44,3149,0.253628671169281
49,3499,0.26421791315078735
54,3849,0.27200764417648315
59,4199,0.2782038450241089
64,4549,0.2821131646633148
69,4899,0.28745928406715393
74,5249,0.2876504063606262
79,5599,0.2875522971153259
84,5949,0.2928077280521393
89,6299,0.296497642993927
94,6649,0.2956083118915558
99,6999,0.29925858974456787
